Commodity,Date,Average
Cabbage(Local),6/16/2013,8.0
Cabbage(Local),6/17/2013,8.0
Cabbage(Local),6/18/2013,9.0
Cabbage(Local),6/19/2013,12.5
Cabbage(Local),6/20/2013,12.5
Cabbage(Local),6/21/2013,10.0
Cabbage(Local),6/25/2013,12.5
Cabbage(Local),6/26/2013,12.5
Cabbage(Local),6/27/2013,12.0
Cabbage(Local),6/28/2013,12.0
Cabbage(Local),6/30/2013,13.5
Cabbage(Local),7/1/2013,12.0
Cabbage(Local),7/2/2013,12.0
Cabbage(Local),7/3/2013,11.0
Cabbage(Local),7/4/2013,14.0
Cabbage(Local),7/5/2013,14.0
Cabbage(Local),7/9/2013,14.0
Cabbage(Local),7/10/2013,15.0
Cabbage(Local),7/11/2013,15.0
Cabbage(Local),7/12/2013,14.0
Cabbage(Local),7/14/2013,15.0
Cabbage(Local),7/15/2013,15.0
Cabbage(Local),7/16/2013,15.0
Cabbage(Local),7/17/2013,15.0
Cabbage(Local),7/18/2013,16.0
Cabbage(Local),7/19/2013,16.0
Cabbage(Local),7/21/2013,17.0
Cabbage(Local),7/22/2013,16.0
Cabbage(Local),7/23/2013,19.0
Cabbage(Local),7/24/2013,18.0
Cabbage(Local),7/25/2013,18.0
Cabbage(Local),7/26/2013,19.0
Cabbage(Local),7/28/2013,18.0
Cabbage(Local),7/29/2013,22.0
Cabbage(Local),7/30/2013,22.0
Cabbage(Local),7/31/2013,23.0
Cabbage(Local),8/1/2013,22.0
Cabbage(Local),8/2/2013,37.5
Cabbage(Local),8/4/2013,29.0
Cabbage(Local),8/5/2013,29.0
Cabbage(Local),8/6/2013,35.0
Cabbage(Local),8/7/2013,32.5
Cabbage(Local),8/8/2013,32.0
Cabbage(Local),8/12/2013,32.0
Cabbage(Local),8/13/2013,32.5
Cabbage(Local),8/14/2013,33.0
Cabbage(Local),8/15/2013,37.5
Cabbage(Local),8/16/2013,32.5
Cabbage(Local),8/18/2013,39.0
Cabbage(Local),8/19/2013,37.5
Cabbage(Local),8/20/2013,37.5
Cabbage(Local),8/23/2013,42.0
Cabbage(Local),8/25/2013,41.0
Cabbage(Local),8/26/2013,42.0
Cabbage(Local),8/27/2013,42.5
Cabbage(Local),8/29/2013,42.0
Cabbage(Local),8/30/2013,42.0
Cabbage(Local),9/1/2013,42.5
Cabbage(Local),9/2/2013,42.0
Cabbage(Local),9/3/2013,55.0
Cabbage(Local),9/4/2013,52.5
Cabbage(Local),9/5/2013,42.5
Cabbage(Local),9/6/2013,52.5
Cabbage(Local),9/8/2013,47.5
Cabbage(Local),9/9/2013,42.5
Cabbage(Local),9/10/2013,43.5
Cabbage(Local),9/11/2013,43.0
Cabbage(Local),9/12/2013,42.5
Cabbage(Local),9/13/2013,42.5
Cabbage(Local),9/15/2013,42.5
Cabbage(Local),9/16/2013,43.0
Cabbage(Local),9/17/2013,42.0
Cabbage(Local),9/19/2013,42.5
Cabbage(Local),9/20/2013,41.0
Cabbage(Local),9/22/2013,42.5
Cabbage(Local),9/23/2013,37.5
Cabbage(Local),9/24/2013,41.0
Cabbage(Local),9/25/2013,37.5
Cabbage(Local),9/26/2013,39.0
Cabbage(Local),9/27/2013,37.5
Cabbage(Local),9/29/2013,32.5
Cabbage(Local),9/30/2013,32.0
Cabbage(Local),10/2/2013,34.0
Cabbage(Local),10/3/2013,31.0
Cabbage(Local),10/4/2013,30.0
Cabbage(Local),10/6/2013,37.5
Cabbage(Local),10/7/2013,32.5
Cabbage(Local),10/8/2013,30.0
Cabbage(Local),10/9/2013,31.0
Cabbage(Local),10/10/2013,32.5
Cabbage(Local),10/11/2013,32.5
Cabbage(Local),10/12/2013,29.0
Cabbage(Local),10/13/2013,37.5
Cabbage(Local),10/14/2013,37.5
Cabbage(Local),10/15/2013,39.0
Cabbage(Local),10/16/2013,37.5
Cabbage(Local),10/17/2013,37.5
Cabbage(Local),10/20/2013,26.0
Cabbage(Local),10/21/2013,22.5
Cabbage(Local),10/22/2013,27.5
Cabbage(Local),10/23/2013,27.5
Cabbage(Local),10/24/2013,32.5
Cabbage(Local),10/25/2013,27.5
Cabbage(Local),10/27/2013,27.5
Cabbage(Local),10/28/2013,30.0
Cabbage(Local),10/29/2013,37.5
Cabbage(Local),10/30/2013,36.0
Cabbage(Local),10/31/2013,32.5
Cabbage(Local),11/1/2013,32.5
Cabbage(Local),11/3/2013,32.5
Cabbage(Local),11/4/2013,32.5
Cabbage(Local),11/5/2013,37.5
Cabbage(Local),11/6/2013,37.5
Cabbage(Local),11/7/2013,42.5
Cabbage(Local),11/10/2013,35.5
Cabbage(Local),11/11/2013,36.5
Cabbage(Local),11/12/2013,36.5
Cabbage(Local),11/13/2013,48.5
Cabbage(Local),11/14/2013,49.0
Cabbage(Local),11/15/2013,42.5
Cabbage(Local),11/16/2013,40.0
Cabbage(Local),11/17/2013,47.5
Cabbage(Local),11/18/2013,53.0
Cabbage(Local),11/21/2013,47.5
Cabbage(Local),11/22/2013,55.0
Cabbage(Local),11/24/2013,47.5
Cabbage(Local),11/25/2013,39.0
Cabbage(Local),11/26/2013,39.0
Cabbage(Local),11/27/2013,46.0
Cabbage(Local),11/28/2013,47.5
Cabbage(Local),11/29/2013,47.5
Cabbage(Local),12/1/2013,47.5
Cabbage(Local),12/2/2013,40.0
Cabbage(Local),12/3/2013,39.0
Cabbage(Local),12/4/2013,37.5
Cabbage(Local),12/5/2013,37.5
Cabbage(Local),12/6/2013,30.0
Cabbage(Local),12/8/2013,32.5
Cabbage(Local),12/9/2013,27.5
Cabbage(Local),12/10/2013,27.5
Cabbage(Local),12/11/2013,27.5
Cabbage(Local),12/12/2013,32.5
Cabbage(Local),12/13/2013,32.5
Cabbage(Local),12/15/2013,27.5
Cabbage(Local),12/16/2013,24.0
Cabbage(Local),12/18/2013,22.5
Cabbage(Local),12/19/2013,22.5
Cabbage(Local),12/20/2013,23.5
Cabbage(Local),12/22/2013,22.5
Cabbage(Local),12/23/2013,22.5
Cabbage(Local),12/24/2013,22.5
Cabbage(Local),12/26/2013,22.5
Cabbage(Local),12/27/2013,22.5
Cabbage(Local),12/29/2013,22.5
Cabbage(Local),12/31/2013,22.5
Cabbage(Local),1/1/2014,22.5
Cabbage(Local),1/2/2014,22.5
Cabbage(Local),1/3/2014,22.5
Cabbage(Local),1/5/2014,22.5
Cabbage(Local),1/6/2014,22.5
Cabbage(Local),1/7/2014,22.5
Cabbage(Local),1/8/2014,19.0
Cabbage(Local),1/9/2014,22.5
Cabbage(Local),1/10/2014,18.0
Cabbage(Local),1/12/2014,22.5
Cabbage(Local),1/13/2014,20.0
Cabbage(Local),1/14/2014,20.0
Cabbage(Local),1/16/2014,22.0
Cabbage(Local),1/17/2014,22.0
Cabbage(Local),1/19/2014,19.0
Cabbage(Local),1/20/2014,18.0
Cabbage(Local),1/21/2014,18.0
Cabbage(Local),1/22/2014,19.0
Cabbage(Local),1/23/2014,22.0
Cabbage(Local),1/24/2014,16.5
Cabbage(Local),1/26/2014,19.0
Cabbage(Local),1/27/2014,19.0
Cabbage(Local),1/28/2014,15.0
Cabbage(Local),1/29/2014,14.0
