Commodity,Date,Average
Carrot(Local),6/16/2013,32.5
Carrot(Local),6/17/2013,37.5
Carrot(Local),6/18/2013,37.5
Carrot(Local),6/19/2013,40.0
Carrot(Local),6/20/2013,41.0
Carrot(Local),6/21/2013,42.5
Carrot(Local),6/25/2013,42.5
Carrot(Local),6/26/2013,37.5
Carrot(Local),6/27/2013,41.0
Carrot(Local),6/28/2013,41.0
Carrot(Local),6/30/2013,42.5
Carrot(Local),7/1/2013,47.5
Carrot(Local),7/2/2013,47.5
Carrot(Local),7/3/2013,47.5
Carrot(Local),7/4/2013,47.5
Carrot(Local),7/5/2013,47.5
Carrot(Local),7/9/2013,37.5
Carrot(Local),7/10/2013,37.5
Carrot(Local),7/11/2013,37.5
Carrot(Local),7/12/2013,47.5
Carrot(Local),7/14/2013,47.5
Carrot(Local),7/15/2013,37.5
Carrot(Local),7/16/2013,47.5
Carrot(Local),7/17/2013,47.5
Carrot(Local),7/18/2013,47.5
Carrot(Local),7/19/2013,37.5
Carrot(Local),7/21/2013,51.5
Carrot(Local),7/22/2013,47.5
Carrot(Local),7/23/2013,47.5
Carrot(Local),7/24/2013,52.5
Carrot(Local),7/25/2013,52.5
Carrot(Local),7/26/2013,52.5
Carrot(Local),7/28/2013,52.5
Carrot(Local),7/29/2013,47.5
Carrot(Local),7/30/2013,47.5
Carrot(Local),7/31/2013,47.5
Carrot(Local),8/1/2013,47.5
Carrot(Local),8/2/2013,47.5
Carrot(Local),8/4/2013,47.5
Carrot(Local),8/5/2013,47.5
Carrot(Local),8/6/2013,47.5
Carrot(Local),8/7/2013,47.5
Carrot(Local),8/8/2013,55.0
Carrot(Local),8/12/2013,42.5
Carrot(Local),8/13/2013,52.5
Carrot(Local),8/14/2013,52.5
Carrot(Local),8/15/2013,52.5
Carrot(Local),8/16/2013,52.5
Carrot(Local),8/18/2013,52.5
Carrot(Local),8/19/2013,52.5
Carrot(Local),8/20/2013,52.5
Carrot(Local),8/23/2013,37.5
Carrot(Local),8/25/2013,52.5
Carrot(Local),8/26/2013,57.5
Carrot(Local),8/27/2013,57.5
Carrot(Local),8/29/2013,57.5
Carrot(Local),8/30/2013,57.5
Carrot(Local),9/1/2013,57.5
Carrot(Local),9/2/2013,57.5
Carrot(Local),9/3/2013,55.0
Carrot(Local),9/4/2013,57.5
Carrot(Local),9/5/2013,62.5
Carrot(Local),9/6/2013,62.5
Carrot(Local),9/8/2013,57.5
Carrot(Local),9/9/2013,52.5
Carrot(Local),9/10/2013,57.5
Carrot(Local),9/11/2013,52.5
Carrot(Local),9/12/2013,57.5
Carrot(Local),9/13/2013,57.5
Carrot(Local),9/15/2013,57.5
Carrot(Local),9/16/2013,57.5
Carrot(Local),9/17/2013,57.5
Carrot(Local),9/19/2013,52.5
Carrot(Local),9/20/2013,57.5
Carrot(Local),9/22/2013,77.5
Carrot(Local),9/23/2013,75.0
Carrot(Local),9/24/2013,77.5
Carrot(Local),9/25/2013,77.5
Carrot(Local),9/26/2013,72.5
Carrot(Local),9/27/2013,77.5
Carrot(Local),9/29/2013,82.5
Carrot(Local),9/30/2013,77.5
Carrot(Local),10/1/2013,95.0
