Commodity,Date,Average
Potato Red,6/16/2013,20.5
Potato Red,6/17/2013,20.5
Potato Red,6/18/2013,19.5
Potato Red,6/19/2013,20.5
Potato Red,6/20/2013,20.5
Potato Red,6/21/2013,21.5
Potato Red,6/25/2013,24.0
Potato Red,6/26/2013,22.5
Potato Red,6/27/2013,23.0
Potato Red,6/28/2013,23.5
Potato Red,6/30/2013,23.5
Potato Red,7/1/2013,23.0
Potato Red,7/2/2013,23.5
Potato Red,7/3/2013,22.5
Potato Red,7/4/2013,23.5
Potato Red,7/5/2013,23.0
Potato Red,7/9/2013,23.5
Potato Red,7/10/2013,23.5
Potato Red,7/11/2013,23.5
Potato Red,7/12/2013,23.5
Potato Red,7/14/2013,24.0
Potato Red,7/15/2013,23.5
Potato Red,7/16/2013,23.5
Potato Red,7/17/2013,23.5
Potato Red,7/18/2013,23.5
Potato Red,7/19/2013,23.5
Potato Red,7/21/2013,24.5
Potato Red,7/22/2013,23.5
Potato Red,7/23/2013,23.5
Potato Red,7/24/2013,23.5
Potato Red,7/25/2013,23.5
Potato Red,7/26/2013,23.5
Potato Red,7/28/2013,23.5
Potato Red,7/29/2013,23.5
Potato Red,7/30/2013,23.5
Potato Red,7/31/2013,23.5
Potato Red,8/1/2013,23.5
Potato Red,8/2/2013,23.5
Potato Red,8/4/2013,27.5
Potato Red,8/5/2013,26.5
Potato Red,8/6/2013,26.5
Potato Red,8/7/2013,26.5
Potato Red,8/8/2013,26.0
Potato Red,8/12/2013,25.5
Potato Red,8/13/2013,27.5
Potato Red,8/14/2013,27.5
Potato Red,8/15/2013,27.5
Potato Red,8/16/2013,28.5
Potato Red,8/18/2013,29.5
Potato Red,8/19/2013,29.5
Potato Red,8/20/2013,29.5
Potato Red,8/23/2013,31.0
Potato Red,8/25/2013,31.0
Potato Red,8/26/2013,31.0
Potato Red,8/27/2013,31.0
Potato Red,8/29/2013,31.0
Potato Red,8/30/2013,31.0
Potato Red,9/1/2013,31.5
Potato Red,9/2/2013,31.5
Potato Red,9/3/2013,31.0
Potato Red,9/4/2013,31.5
Potato Red,9/5/2013,31.5
Potato Red,9/6/2013,32.5
Potato Red,9/8/2013,31.5
Potato Red,9/9/2013,31.5
Potato Red,9/10/2013,31.5
Potato Red,9/11/2013,31.5
Potato Red,9/12/2013,31.0
Potato Red,9/13/2013,30.5
Potato Red,9/15/2013,31.5
Potato Red,9/16/2013,31.5
Potato Red,9/17/2013,31.5
Potato Red,9/19/2013,31.5
Potato Red,9/20/2013,30.5
Potato Red,9/22/2013,33.0
Potato Red,9/23/2013,31.5
Potato Red,9/24/2013,30.5
Potato Red,9/25/2013,30.5
Potato Red,9/26/2013,25.5
Potato Red,9/27/2013,25.5
Potato Red,9/29/2013,24.5
Potato Red,9/30/2013,24.5
Potato Red,10/1/2013,24.5
Potato Red,10/2/2013,25.5
Potato Red,10/3/2013,25.5
Potato Red,10/4/2013,26.5
Potato Red,10/6/2013,27.0
Potato Red,10/7/2013,27.0
Potato Red,10/8/2013,29.0
Potato Red,10/9/2013,31.0
Potato Red,10/10/2013,31.0
Potato Red,10/11/2013,31.0
Potato Red,10/12/2013,31.0
Potato Red,10/13/2013,31.0
Potato Red,10/14/2013,31.0
Potato Red,10/15/2013,31.0
Potato Red,10/16/2013,31.0
Potato Red,10/17/2013,31.0
Potato Red,10/20/2013,46.0
Potato Red,10/21/2013,46.0
Potato Red,10/22/2013,45.0
Potato Red,10/23/2013,49.0
Potato Red,10/24/2013,52.5
Potato Red,10/25/2013,53.5
Potato Red,10/27/2013,53.5
Potato Red,10/28/2013,51.0
Potato Red,10/29/2013,47.5
Potato Red,10/30/2013,42.5
Potato Red,10/31/2013,42.5
Potato Red,11/1/2013,37.5
Potato Red,11/3/2013,41.0
Potato Red,11/4/2013,42.5
Potato Red,11/5/2013,42.5
Potato Red,11/6/2013,42.5
Potato Red,11/7/2013,42.5
Potato Red,11/10/2013,41.0
Potato Red,11/11/2013,35.5
Potato Red,11/12/2013,35.5
Potato Red,11/13/2013,37.5
Potato Red,11/14/2013,42.5
Potato Red,11/15/2013,42.5
Potato Red,11/16/2013,42.0
Potato Red,11/17/2013,42.0
Potato Red,11/18/2013,42.5
Potato Red,11/20/2013,39.5
Potato Red,11/21/2013,41.0
Potato Red,11/22/2013,41.0
Potato Red,11/24/2013,37.5
Potato Red,11/25/2013,36.5
Potato Red,11/26/2013,36.5
Potato Red,11/27/2013,35.0
Potato Red,11/28/2013,33.5
Potato Red,11/29/2013,33.0
Potato Red,12/1/2013,31.0
Potato Red,12/2/2013,31.0
Potato Red,12/3/2013,31.0
Potato Red,12/4/2013,31.0
Potato Red,12/5/2013,31.0
Potato Red,12/6/2013,31.0
Potato Red,12/8/2013,33.0
Potato Red,12/9/2013,31.0
Potato Red,12/10/2013,31.0
Potato Red,12/11/2013,32.0
Potato Red,12/12/2013,31.0
Potato Red,12/13/2013,31.0
Potato Red,12/15/2013,31.0
Potato Red,12/16/2013,31.0
Potato Red,12/18/2013,29.0
Potato Red,12/19/2013,29.0
Potato Red,12/20/2013,29.0
Potato Red,12/22/2013,30.5
Potato Red,12/23/2013,29.0
Potato Red,12/24/2013,31.0
Potato Red,12/26/2013,31.0
Potato Red,12/27/2013,32.5
Potato Red,12/29/2013,32.5
Potato Red,12/31/2013,31.0
Potato Red,1/1/2014,26.5
Potato Red,1/2/2014,26.0
Potato Red,1/3/2014,26.5
Potato Red,1/5/2014,26.0
Potato Red,1/6/2014,26.0
Potato Red,1/7/2014,25.0
Potato Red,1/8/2014,24.5
Potato Red,1/9/2014,22.5
Potato Red,1/10/2014,24.0
Potato Red,1/12/2014,24.5
Potato Red,1/13/2014,23.5
Potato Red,1/14/2014,24.0
Potato Red,1/16/2014,22.5
Potato Red,1/17/2014,22.5
Potato Red,1/19/2014,22.5
Potato Red,1/20/2014,22.5
Potato Red,1/21/2014,22.5
Potato Red,1/22/2014,22.5
Potato Red,1/23/2014,22.5
Potato Red,1/24/2014,22.5
Potato Red,1/26/2014,22.0
Potato Red,1/27/2014,22.5
Potato Red,1/28/2014,22.5
Potato Red,1/29/2014,22.5
Potato Red,2/2/2014,21.0
Potato Red,2/3/2014,19.0
Potato Red,2/4/2014,19.5
Potato Red,2/5/2014,17.0
Potato Red,2/6/2014,17.0
Potato Red,2/7/2014,17.0
Potato Red,2/8/2014,23.0
Potato Red,2/9/2014,17.0
Potato Red,2/10/2014,17.5
Potato Red,2/11/2014,17.5
Potato Red,2/12/2014,19.5
Potato Red,2/13/2014,19.0
Potato Red,2/14/2014,19.5
Potato Red,2/16/2014,19.5
Potato Red,2/17/2014,19.5
Potato Red,2/18/2014,19.5
Potato Red,2/20/2014,19.5
Potato Red,2/21/2014,19.5
Potato Red,2/23/2014,19.5
Potato Red,2/24/2014,19.5
Potato Red,2/25/2014,19.5
Potato Red,2/26/2014,20.5
Potato Red,2/28/2014,20.5
Potato Red,3/3/2014,20.5
Potato Red,3/5/2014,21.5
Potato Red,3/6/2014,22.5
Potato Red,3/7/2014,22.5
Potato Red,3/9/2014,22.0
Potato Red,3/10/2014,21.5
Potato Red,3/11/2014,21.5
Potato Red,3/12/2014,21.5
Potato Red,3/13/2014,21.5
Potato Red,3/14/2014,20.5
Potato Red,3/17/2014,22.5
Potato Red,3/18/2014,23.0
Potato Red,3/19/2014,23.0
Potato Red,3/20/2014,23.5
Potato Red,3/21/2014,23.5
Potato Red,3/23/2014,23.5
Potato Red,3/24/2014,23.0
Potato Red,3/25/2014,23.5
Potato Red,3/26/2014,23.5
Potato Red,3/27/2014,23.0
Potato Red,3/28/2014,23.5
Potato Red,3/31/2014,23.5
Potato Red,4/1/2014,23.5
Potato Red,4/2/2014,23.0
Potato Red,4/3/2014,23.5
Potato Red,4/4/2014,23.5
Potato Red,4/6/2014,24.5
Potato Red,4/7/2014,25.5
Potato Red,4/9/2014,27.5
Potato Red,4/10/2014,28.5
Potato Red,4/11/2014,28.5
Potato Red,4/13/2014,27.0
Potato Red,4/15/2014,27.5
Potato Red,4/16/2014,27.5
Potato Red,4/17/2014,28.0
Potato Red,4/18/2014,29.0
Potato Red,4/20/2014,29.0
Potato Red,4/21/2014,27.5
Potato Red,4/22/2014,26.0
Potato Red,4/23/2014,26.0
Potato Red,4/25/2014,25.5
Potato Red,4/27/2014,25.5
Potato Red,4/28/2014,24.5
Potato Red,4/29/2014,24.5
Potato Red,4/30/2014,24.5
Potato Red,5/2/2014,27.5
Potato Red,5/4/2014,28.0
Potato Red,5/5/2014,29.0
Potato Red,5/6/2014,29.0
Potato Red,5/7/2014,29.0
Potato Red,5/8/2014,29.5
Potato Red,5/9/2014,29.0
Potato Red,5/11/2014,29.0
Potato Red,5/12/2014,29.0
Potato Red,5/13/2014,27.5
Potato Red,5/15/2014,28.0
Potato Red,5/16/2014,28.0
Potato Red,5/18/2014,28.0
Potato Red,5/19/2014,28.0
Potato Red,5/20/2014,27.5
Potato Red,5/21/2014,26.0
Potato Red,5/22/2014,29.0
Potato Red,5/23/2014,28.0
Potato Red,5/25/2014,28.0
Potato Red,5/26/2014,29.0
Potato Red,5/27/2014,29.0
Potato Red,5/28/2014,29.0
Potato Red,5/30/2014,31.0
Potato Red,6/1/2014,31.0
Potato Red,6/2/2014,32.5
Potato Red,6/3/2014,33.0
Potato Red,6/4/2014,33.0
Potato Red,6/5/2014,33.0
Potato Red,6/6/2014,34.0
Potato Red,6/8/2014,34.0
Potato Red,6/9/2014,34.0
Potato Red,6/10/2014,34.5
Potato Red,6/11/2014,34.5
Potato Red,6/12/2014,34.5
Potato Red,6/13/2014,34.5
Potato Red,6/15/2014,37.0
Potato Red,6/16/2014,37.0
Potato Red,6/17/2014,37.0
Potato Red,6/18/2014,37.0
Potato Red,6/19/2014,39.0
Potato Red,6/20/2014,38.0
Potato Red,6/23/2014,40.0
Potato Red,6/24/2014,38.5
Potato Red,6/25/2014,41.0
Potato Red,6/26/2014,39.0
Potato Red,6/27/2014,41.0
Potato Red,6/29/2014,41.0
Potato Red,6/30/2014,41.0
Potato Red,7/1/2014,41.0
Potato Red,7/2/2014,41.0
Potato Red,7/3/2014,41.0
Potato Red,7/4/2014,41.0
Potato Red,7/5/2014,41.0
Potato Red,7/6/2014,45.5
Potato Red,7/7/2014,38.5
Potato Red,7/8/2014,36.0
Potato Red,7/9/2014,36.5
Potato Red,7/10/2014,36.0
Potato Red,7/11/2014,35.5
Potato Red,7/12/2014,36.5
Potato Red,7/13/2014,44.0
Potato Red,7/14/2014,36.5
Potato Red,7/15/2014,36.5
Potato Red,7/16/2014,36.5
Potato Red,7/17/2014,36.5
Potato Red,7/18/2014,37.0
Potato Red,7/19/2014,41.0
Potato Red,7/20/2014,41.0
Potato Red,7/21/2014,41.0
Potato Red,7/22/2014,41.0
Potato Red,7/23/2014,41.0
Potato Red,7/24/2014,41.0
Potato Red,7/25/2014,41.0
Potato Red,7/26/2014,41.0
Potato Red,7/27/2014,41.0
Potato Red,7/28/2014,41.0
Potato Red,7/29/2014,41.0
Potato Red,7/30/2014,41.0
Potato Red,7/31/2014,41.5
Potato Red,8/1/2014,41.0
Potato Red,8/2/2014,41.0
Potato Red,8/3/2014,43.0
Potato Red,8/4/2014,43.0
Potato Red,8/5/2014,43.0
